Time,root.group_9.1701.ZT1
1546352190152,0
1546352192160,0
1546352194160,0
1546352196153,0
1546352198166,0
1546352200155,0
1546352202170,0
1546352204162,0
1546352206160,0
1546352208154,0
1546352210160,0
1546352212153,0
1546352214153,0
1546352216160,0
1546352218154,0
1546352220159,0
1546352222152,0
1546352224155,0
1546352226175,0
1546352228162,0
1546352230162,0
1546352232156,0
1546352234161,0
1546352236153,0
1546352238153,0
1546352240160,0
1546352242158,0
1546352244155,0
1546352246164,0
1546352248159,0
1546352250177,0
1546352252161,0
1546352254154,0
1546352256153,0
1546352258160,0
1546352260156,0
1546352262155,0
1546352264152,0
1546352266161,0
1546352268159,0
1546352270161,0
1546352272156,0
1546352274164,0
1546352276161,0
1546352278153,0
1546352280153,0
1546352282162,0
1546352284161,0
1546352286152,0
1546352288162,0
1546352290154,0
1546352292157,0
1546352294162,0
1546352296159,0
1546352298174,0
1546352300160,0
1546352302160,0
1546352304162,0
1546352306152,0
1546352308155,0
1546352310159,0
1546352312165,0
1546352314157,0
1546352316156,0
1546352318161,0
1546352320161,0
1546352322172,0
1546352324162,0
1546352326152,0
1546352328153,0
1546352330160,0
1546352332154,0
1546352334152,0
1546352336161,0
1546352338156,0
1546352340160,0
1546352342161,0
1546352344160,0
1546352346168,0
1546352348160,0
1546352350153,0
1546352352160,0
1546352354161,0
1546352356161,0
1546352358155,0
1546352360160,0
1546352362152,0
1546352364155,0
1546352366162,0
1546352368160,0
1546352370170,0
1546352372152,0
1546352374156,0
1546352376157,0
1546352378160,0
1546352380161,0
1546352382153,0
1546352384160,0
1546352386160,0
1546352388153,0
1546352390162,0
1546352392155,0
1546352394167,0
1546352396162,0
1546352398155,0
1546352400157,0
1546352402160,0
1546352404155,0
1546352406155,0
1546352408160,0
1546352410152,0
1546352412156,0
1546352414161,0
1546352416154,0
1546352418173,0
1546352420160,0
1546352422160,0
1546352424156,0
1546352426160,0
1546352428157,0
1546352430155,0
1546352432160,0
1546352434157,0
1546352436155,0
1546352438162,0
1546352440156,0
1546352442170,0
1546352444161,0
1546352446157,0
1546352448156,0
1546352450161,0
1546352452158,0
1546352454157,0
1546352456160,0
1546352458152,0
1546352460157,0
1546352462160,0
1546352464154,0
1546352466172,0
1546352468160,0
1546352470155,0
1546352472159,0
1546352474152,0
1546352476160,0
1546352478153,0
1546352480161,0
1546352482158,0
1546352484152,0
1546352486164,0
1546352488157,0
1546352490172,0
1546352492160,0
1546352494154,0
1546352496160,0
1546352498152,0
1546352500155,0
1546352502161,0
1546352504160,0
1546352506158,0
1546352508157,0
1546352510160,0
1546352512154,0
1546352514176,0
1546352516160,0
1546352518161,0
1546352520158,0
1546352522161,0
1546352524160,0
1546352526155,0
1546352528163,0
1546352530160,0
1546352532155,0
1546352534162,0
1546352536159,0
1546352538170,0
1546352540160,0
1546352542154,0
1546352544153,0
1546352546160,0
1546352548153,0
1546352550156,0
1546352552152,0
1546352554160,0
1546352556161,0
1546352558160,0
1546352560159,0
1546352562171,0
1546352564164,0
1546352566162,0
1546352568155,0
1546352570162,0
1546352572154,0
1546352574152,0
1546352576161,0
1546352578152,0
1546352580155,0
1546352582162,0
1546352584153,0
1546352586171,0
1546352588161,0
1546352590154,0
1546352592159,0
1546352594160,0
1546352596157,0
1546352598159,0
1546352600152,0
1546352602157,0
1546352604153,0
1546352606160,0
1546352608156,0
1546352610170,0
1546352612154,0
1546352614160,0
1546352616155,0
1546352618163,0
1546352620156,0
1546352622152,0
1546352624161,0
1546352626159,0
1546352628155,0
1546352630162,0
1546352632158,0
1546352634172,0
1546352636152,0
1546352638154,0
1546352640154,0
1546352642160,0
1546352644160,0
1546352646156,0
1546352648160,0
1546352650155,0
1546352652153,0
1546352654160,0
1546352656157,0
1546352658169,0
1546352660160,0
1546352662155,0
1546352664156,0
1546352666160,0
1546352668153,0
1546352670156,0
1546352672162,0
1546352674154,0
1546352676160,0
1546352678162,0
1546352680158,0
1546352682173,0
1546352684160,0
1546352686152,0
1546352688161,0
1546352690164,0
1546352692159,0
1546352694152,0
1546352696160,0
1546352698156,0
1546352700158,0
1546352702160,0
1546352704155,0
1546352706170,0
1546352708153,0
1546352710154,0
1546352712156,0
1546352714161,0
1546352716158,0
1546352718153,0
1546352720152,0
1546352722158,0
1546352724155,0
1546352726160,0
1546352728154,0
1546352730171,0
1546352732161,0
1546352734156,0
1546352736156,0
1546352738160,0
1546352740154,0
1546352742158,0
1546352744160,0
1546352746166,0
1546352748161,0
1546352750161,0
1546352752169,0
1546352754170,0
1546352756160,0
